Date,Open,High,Low,Close,Adj Close,Volume
2019-08-08,2.613000,2.640000,2.529000,2.560000,2.560000,772700
2019-08-09,2.560000,2.625000,2.460000,2.588000,2.588000,600300
2019-08-12,2.639000,2.730000,2.540000,2.690000,2.690000,599500
2019-08-13,2.780000,2.790000,2.610000,2.760000,2.760000,864100
2019-08-14,2.450000,2.480000,2.300000,2.360000,2.360000,1738200
2019-08-15,2.350000,2.420000,2.220000,2.245000,2.245000,1049600
2019-08-16,2.285000,2.410000,2.250000,2.390000,2.390000,574000
2019-08-19,2.340000,2.465000,2.320000,2.370000,2.370000,680000
2019-08-20,2.410000,2.410000,2.300000,2.390000,2.390000,243900
2019-08-21,2.430000,2.491000,2.380000,2.480000,2.480000,374800
2019-08-22,2.479000,2.520000,2.390000,2.440000,2.440000,544700
2019-08-23,2.470000,2.470000,2.340000,2.370000,2.370000,521300
2019-08-26,2.300000,2.410000,2.300000,2.390000,2.390000,408300
2019-08-27,2.400000,2.425000,2.280000,2.320000,2.320000,502900
2019-08-28,2.320000,2.340000,2.206000,2.340000,2.340000,268700
2019-08-29,2.410000,2.444000,2.350000,2.444000,2.444000,410900
2019-08-30,2.443000,2.533000,2.390000,2.501000,2.501000,470400
